fecha,salario,variacion_mensual,indice_base_100
2022-01-01,90034,NA,100
2022-02-01,95103,5.630095297332116,105.63009529733212
2022-03-01,109606,15.249781815505292,121.73845436168558
2022-04-01,109606,0,121.73845436168558
2022-05-01,109606,0,121.73845436168558
2022-06-01,125116,14.150685181468159,138.965279783193
2022-07-01,136749,9.297771667892185,151.88595419508187
2022-08-01,143534,4.96164505773351,159.42199613479352
2022-09-01,148381,3.3769002466314646,164.80551791545417
2022-10-01,157106,5.880132901112667,174.49630139724994
2022-11-01,163891,4.3187402136137365,182.0323433369616
2022-12-01,180371,10.0554636923321,200.33653952951107
2023-01-01,182310,1.0750065143509735,202.49017038007864
2023-02-01,182310,0,202.49017038007864
2023-03-01,221364,21.421754155010685,245.86711686696137
2023-04-01,236626,6.894526661968525,262.8184907923673
2023-05-01,236626,0,262.8184907923673
2023-06-01,275949,16.61820763567825,306.4942132971988
2023-07-01,306603,11.108574410488892,340.5413510451607
2023-08-01,334702,9.164620046118266,371.7506719683675
2023-09-01,368165,9.997848832692968,408.9177421862852
2023-10-01,412337,11.997881384705234,457.9792078548104
2023-11-01,449442,8.998707368002389,499.1914165759602
2023-12-01,474161,5.499931025582838,526.6466001732679
2024-01-01,474161,0,526.6466001732679
2024-02-01,550027,16.00005061571914,610.9103227669547
2024-03-01,616030,11.999956365778397,684.2192949330253
2024-04-01,665313,8.000097397854011,738.9575049425772
2024-05-01,725191,8.999974448116909,805.4634915698514
2024-06-01,754198,3.9999117473879187,837.6813203900749
2024-07-01,810763,7.500019888676457,900.5075860230579
2024-08-01,826979,2.0000912720486763,918.5185596552413
2024-09-01,851788,2.999955258839715,946.0737054890375
2024-10-01,909709,6.799931438339124,1010.4060688184463
2024-11-01,927904,2.000090138714694,1030.6151009618588
2024-12-01,937183,0.9999956892092321,1040.9212075438168
2025-01-01,951240,1.4999205064539112,1056.5341981917943
2025-02-01,962655,1.200012615112911,1069.2127418530777
2025-03-01,975170,1.3000503814970088,1083.1130461825533
2025-04-01,987847,1.299978465293239,1097.193282537708
2025-05-01,1000689,1.2999988864672352,1111.4567829930916
2025-06-01,1013698,1.3000042970393366,1125.905768931737
2025-07-01,1026876,1.2999926999954559,1140.5424617366773
2025-08-01,1040225,1.2999622154963308,1155.3690827909456
2025-09-01,1052708,1.2000288399144354,1169.233844991892
2025-10-01,1064288,1.1000201385379382,1182.0956527534042
2025-11-01,1075995,1.099984214798999,1195.098518337517
2025-12-01,1097515,2.0000092937234815,1219.000599773419
2026-01-01,1124953,2.500011389365975,1249.4757536041939
2026-02-01,1149702,2.2000030223484845,1276.9642579469978
2026-03-01,1172696,1.999996520837577,1302.503498678277
