fecha,indec_publico_nacional,sinep_increase
2022-01-01,4.28,5
2022-02-01,2.59,7
2022-03-01,6.73,0
2022-04-01,2.56,7
2022-05-01,10.44,10
2022-06-01,7.38,16
2022-07-01,13.21,0
2022-08-01,5.33,12
2022-09-01,0.87,0
2022-10-01,6.97,12
2022-11-01,6.64,10
2022-12-01,2.66,0
2023-01-01,5.64,10
2023-02-01,2.69,10
2023-03-01,17.68,8
2023-04-01,2.57,5.13
2023-05-01,1.12,0
2023-06-01,10.27,7
2023-07-01,19.49,11
2023-08-01,3.59,12
2023-09-01,5.28,11
2023-10-01,18.56,11
2023-11-01,5.58,10
2023-12-01,10.81,9
2024-01-01,7.2,16
2024-02-01,15.5,12
2024-03-01,9.29,8
2024-04-01,5.53,2
2024-05-01,2.5,7
2024-06-01,4.64,0
2024-07-01,1.98,3.5
2024-08-01,3.97,3
2024-09-01,2.54,2
2024-10-01,1.68,1
2024-11-01,1.26,2
2024-12-01,1.93,1
2025-01-01,0.21,1.5
2025-02-01,1.48,1.2
2025-03-01,3.18,1.3
2025-04-01,2.67,1.3
2025-05-01,1.54,1.3
2025-06-01,1.09,1.3
2025-07-01,0.64,1.3
2025-08-01,2.96,1.3
2025-09-01,1.26,1.2
2025-10-01,1.23,1.1
2025-11-01,1.27,1.1
2025-12-01,1.04,2
2026-01-01,2.04,2.5
2026-02-01,0.59,2.2
2026-03-01,5.79,2
