fecha,indec_publico_nacional,sinep,universitarios,defensa,seguridad_y_justicia,indice_salarial_calculado_variacion
2022-01-01,4.28,5,0,0,0,1.449175824175824
2022-02-01,2.59,7,5.630095297332116,0,0,3.714781284091211
2022-03-01,6.73,0,15.249781815505292,0,0,4.566555543654057
2022-04-01,2.56,7,0,0,10.000001255732103,4.734890449696737
2022-05-01,10.44,10,0,6.493518009470267,10.00000079910224,6.514201915369654
2022-06-01,7.38,16,14.150685181468159,0,0,8.874793090055025
2022-07-01,13.21,0,9.297771667892185,28.000283104490546,8.999999937732284,9.142778967021693
2022-08-01,5.33,12,4.96164505773351,0,0,4.963789316738881
2022-09-01,0.87,0,3.3769002466314646,0,6.00000003808423,2.6348410182256217
2022-10-01,6.97,12,5.880132901112667,0,0,5.23883100610242
2022-11-01,6.64,10,4.3187402136137365,17.187566067868175,0,6.599748771277951
2022-12-01,2.66,0,10.0554636923321,0,19.99999856285948,8.42320165084027
2023-01-01,5.64,10,1.0750065143509735,6.666537142095863,5.999999670655276,5.777937010633763
2023-02-01,2.69,10,0,0,6.999999385656319,4.792582251338317
2023-03-01,17.68,8,21.421754155010685,40.36808730429262,5.500000204583233,15.877729877930046
2023-04-01,2.57,5.13,6.894526661968525,0,9.00000021268401,5.986863810725121
2023-05-01,1.12,0,0,0,8.999999747487974,2.435439492108696
2023-06-01,10.27,7,16.61820763567825,5.500046343498011,8.999999873638664,10.211227976265757
2023-07-01,19.49,11,11.108574410488892,40.94057492268766,6.500000333292499,14.009763639092501
2023-08-01,3.59,12,9.164620046118266,2.899936543239745,12.000000507977916,9.875935161450391
2023-09-01,5.28,11,9.997848832692968,0,10.000000080991356,8.88809211742083
2023-10-01,18.56,11,11.997881384705234,23.21010150451548,9.499999917167925,12.603665493143406
2023-11-01,5.58,10,8.998707368002389,5.5837333842041925,10.000000638786275,9.081399913810776
2023-12-01,10.81,9,5.499931025582838,19.323522125509207,12.499999847180332,10.345445316309783
2024-01-01,7.2,16,0,0,17.999999902195384,9.5082417317754
2024-02-01,15.5,12,16.00005061571914,16.000037464233372,12.00000009209472,13.758262189177522
2024-03-01,9.29,8,11.999956365778397,11.999989234419184,7.9999999342180494,9.758227165784895
2024-04-01,5.53,2,8.000097397854011,7.999992790904997,6.999999920056665,5.990412749526988
2024-05-01,2.5,7,8.999974448116909,0,4.1999999242192665,5.860431888407529
2024-06-01,4.64,0,3.9999117473879187,9.139976047557784,4.203454880179902,3.615850177440798
2024-07-01,1.98,3.5,7.500019888676457,0,3.49656865820005,4.206495001918788
2024-08-01,3.97,3,2.0000912720486763,6.60500978317986,2.9999999873362215,3.2056743031541113
2024-09-01,2.54,2,2.999955258839715,0,2.0000000891382763,2.019217395586948
2024-10-01,1.68,1,6.799931438339124,2.0000152990437225,2.500000105471245,3.2828113115909674
2024-11-01,1.26,2,2.000090138714694,0,2.4999999522255623,1.8551093967420866
2024-12-01,1.93,1,0.9999956892092321,8.171019284572957,2.000000091784271,2.2753338535103786
2025-01-01,0.21,1.5,1.4999205064539112,0,1.7999999530392996,1.3709926664226577
2025-02-01,1.48,1.2,1.200012615112911,2.515000262155231,1.999999983426215,1.600731831826116
2025-03-01,3.18,1.3,1.3000503814970088,0,2.499999935681818,1.4425974869445963
2025-04-01,2.67,1.3,1.299978465293239,0,2.200000051520612,1.361394664263031
2025-05-01,1.54,1.3,1.2999988864672352,0,1.3000000330906536,1.1178568183636208
2025-06-01,1.09,1.3,1.3000042970393366,11.894198832208858,1.5999999836669998,2.865534635195437
2025-07-01,0.64,1.3,1.2999926999954559,0,1.8999999673460664,1.2802175853931104
2025-08-01,2.96,1.3,1.2999622154963308,0,1.8999999065762552,1.2802084403485197
2025-09-01,1.26,1.2,1.2000288399144354,0,2.099999890901083,1.2754206945176652
2025-10-01,1.23,1.1,1.1000201385379382,0,2.3000000709602286,1.270610445302796
2025-11-01,1.27,1.1,1.099984214798999,0,5.330000061721973,2.0905310041008387
2025-12-01,1.04,2,2.0000092937234815,8.268413296761778,2.8000000285846927,3.09475300540193
2026-01-01,2.04,2.5,2.500011389365975,2.50000436130442,2.9000000381799618,2.6082457901872056
2026-02-01,0.59,2.2,2.2000030223484845,2.2000035401025464,2.8999999161263723,2.3894244552737978
2026-03-01,5.79,2,1.999996520837577,2.000000666133972,0,1.458790260286067
2026-04-01,0,1.7,1.6999290523716182,1.7000130941041691,0,1.2399531167797226
2026-05-01,0,1.5,1.4999610105724148,1.5000117193432416,0,1.0940833731837871
